,radiant_win,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,dire_1,dire_2,dire_3,dire_4,dire_5
7206,1,71,7,44,22,14,29,83,5,23,81
7207,1,101,75,25,42,99,26,91,14,21,8
7208,0,99,68,15,101,106,74,33,71,32,114
7209,0,99,74,93,14,87,28,80,72,100,59
7210,1,22,67,14,64,86,30,32,97,11,44
7211,0,14,45,27,3,95,69,9,55,105,93
7212,0,26,110,74,99,93,120,4,46,21,86
7213,0,41,14,104,17,20,101,39,67,21,5
7214,0,101,36,21,30,114,39,93,83,14,87
7215,1,104,37,103,25,4,13,21,101,71,106
7216,0,26,22,21,69,67,12,34,68,110,14
7217,1,56,31,23,48,69,51,3,4,30,98
7218,0,85,67,34,22,14,41,17,94,64,40
7219,0,98,89,4,14,23,114,120,45,88,119
7220,1,100,29,54,37,74,34,5,71,69,106
7221,1,5,110,72,25,45,26,59,88,11,6
7222,1,1,75,66,37,56,113,62,87,21,41
7223,0,26,34,14,6,36,1,51,112,71,64
7224,1,95,3,69,34,71,120,43,15,119,89
7225,1,111,9,64,22,6,57,34,2,8,84
7226,0,77,86,9,104,101,21,14,67,16,17
7227,1,26,106,44,88,89,112,17,74,21,54
7228,1,8,2,86,11,14,34,84,23,48,31
7229,1,1,5,23,88,14,75,22,41,30,48
7230,1,93,14,86,100,110,21,23,88,95,5
7231,0,120,44,105,4,52,34,95,69,5,99
7232,1,12,16,102,5,56,1,21,27,2,101
7233,1,56,101,102,10,26,52,33,47,44,3
7234,1,86,74,30,93,33,44,29,64,14,56
7235,0,114,74,41,1,104,81,72,120,34,101
7236,1,14,48,2,23,75,49,1,38,101,51
7237,1,14,21,74,83,8,98,60,101,70,4
7238,0,32,4,37,34,99,90,74,113,8,14
7239,0,93,28,5,113,21,120,67,26,111,34
7240,0,26,91,69,93,21,4,88,27,97,52
7241,0,38,90,9,14,47,59,2,101,119,4
7242,1,119,89,2,67,22,109,48,9,21,34
7243,1,74,68,1,85,44,12,119,59,40,76
7244,0,23,101,14,47,25,69,20,27,15,93
7245,0,10,34,32,16,38,56,14,79,21,39
7246,0,69,114,27,23,11,39,71,112,48,16
7247,1,2,101,27,47,93,56,26,16,71,11
7248,1,85,34,31,93,2,75,82,91,72,7
7249,0,74,95,26,59,14,17,101,7,2,1
7250,1,42,14,95,15,67,56,22,36,4,86
7251,1,93,75,21,30,39,114,3,80,105,22
7252,0,94,87,21,18,88,81,69,89,99,76
7253,1,16,44,120,17,26,10,34,21,36,91
7254,1,4,8,17,21,120,44,9,2,86,35
7255,1,91,60,97,67,58,2,8,101,106,37
7256,0,47,67,64,49,9,22,101,26,56,10
7257,1,29,42,5,100,25,32,12,46,98,33
7258,0,54,63,87,22,9,17,2,71,25,12
7259,1,22,113,27,41,11,26,39,33,14,67
7260,0,4,110,8,17,37,29,64,1,87,36
7261,0,98,105,10,100,74,41,99,34,64,14
7262,1,28,11,71,93,68,76,72,120,14,32
7263,1,8,97,119,114,56,64,16,17,89,92
7264,1,23,97,44,75,86,69,34,119,3,114
7265,1,96,48,14,25,71,46,114,26,21,32
7266,1,72,12,53,30,64,45,16,56,11,3
7267,1,21,7,74,81,79,86,114,48,110,111
7268,0,22,104,47,4,119,69,17,87,89,1
7269,0,23,54,86,41,39,7,42,37,9,21
7270,0,16,89,104,113,40,97,68,14,74,42
7271,0,22,93,19,70,96,14,48,41,21,17
7272,0,64,114,9,100,76,89,104,41,27,74
7273,0,35,41,87,104,91,50,54,11,101,25
7274,0,35,4,2,87,36,14,18,34,22,89
7275,1,7,3,48,45,49,23,101,2,64,4
7276,0,7,53,11,14,44,26,120,20,93,9
7277,0,75,39,48,14,23,67,87,22,53,3
7278,0,48,34,87,14,7,51,81,86,17,38
7279,0,69,23,74,8,4,75,19,114,97,3
7280,0,74,41,64,4,71,68,46,93,47,42
7281,1,21,111,70,64,22,26,71,55,106,14
7282,1,74,14,57,68,41,101,97,47,71,93
7283,0,71,106,7,26,114,16,67,82,41,27
7284,1,93,14,87,34,69,76,104,56,26,71
7285,1,74,26,1,9,71,93,25,37,76,14
7286,1,48,21,82,29,34,38,114,7,9,11
7287,0,17,71,9,27,18,1,26,34,99,14
7288,1,94,96,5,112,106,76,28,87,26,8
7289,0,11,111,95,101,74,14,119,41,20,2
7290,0,56,14,11,101,10,52,8,88,99,71
7291,1,4,119,97,103,106,83,12,37,61,63
7292,1,92,14,21,3,22,29,9,39,64,8
7293,1,103,86,120,4,23,11,91,61,14,93
7294,0,33,6,29,9,21,41,110,19,74,14
7295,1,59,28,96,106,26,62,9,74,4,7
7296,0,35,2,11,91,40,42,21,14,26,25
7297,0,14,10,4,22,104,54,34,21,8,32
7298,0,110,69,37,41,56,72,101,87,6,36
7299,1,21,104,33,64,44,61,9,62,68,49
7300,1,98,114,1,74,87,22,12,88,27,23
7301,0,56,19,89,111,61,104,77,107,5,52
7302,1,7,41,33,17,99,2,4,14,11,95
7303,0,14,12,34,86,111,60,7,21,18,23
7304,0,69,72,14,11,63,16,67,52,13,21
7305,1,41,21,74,5,104,39,81,14,71,78
7306,1,88,8,86,28,119,4,93,101,40,91
7307,1,4,2,100,21,75,99,46,14,93,87
7308,1,9,1,14,96,35,21,26,37,69,113
7309,1,35,4,25,86,31,93,69,21,14,64
7310,1,83,78,95,101,17,60,37,110,93,89
7311,1,100,2,37,106,4,87,38,48,113,5
7312,1,17,42,110,83,98,97,75,4,41,14
7313,0,92,21,69,49,101,13,14,106,47,37
7314,0,87,11,94,99,107,9,14,81,23,21
7315,1,11,64,47,41,37,101,35,99,74,14
7316,0,48,14,51,56,87,67,27,110,101,71
7317,1,7,23,14,68,81,76,100,1,69,91
7318,1,119,60,89,96,22,105,7,12,13,21
7319,1,12,21,26,101,11,44,22,14,64,114
7320,1,14,12,23,20,58,1,110,25,22,47
7321,1,23,73,33,34,71,8,75,99,101,43
7322,0,13,53,9,35,54,19,96,48,27,8
7323,0,68,74,16,95,33,114,92,17,86,99
7324,1,31,103,37,22,1,96,67,101,34,65
7325,1,38,91,30,4,74,107,106,59,37,21
7326,1,37,72,10,4,104,14,9,70,114,74
7327,0,30,1,21,100,29,86,37,120,44,13
7328,0,106,67,62,21,90,16,32,41,69,74
7329,1,69,20,62,11,93,75,46,54,85,86
7330,1,6,14,74,33,71,76,9,90,93,68
7331,1,22,10,14,16,20,32,30,41,74,51
7332,1,87,64,22,96,41,42,62,110,30,35
7333,0,107,44,9,91,87,112,88,106,69,21
7334,1,8,7,21,14,71,85,37,67,104,101
7335,0,93,101,11,51,68,59,99,14,81,91
7336,0,62,42,105,22,106,83,69,74,85,8
7337,0,8,14,34,40,21,26,22,67,2,112
7338,0,19,14,11,10,48,52,13,4,32,85
7339,1,110,96,81,22,30,48,34,7,74,71
7340,1,64,98,119,4,46,25,41,110,37,101
7341,1,16,14,34,120,42,27,70,22,30,99
7342,1,87,74,1,14,44,21,7,23,54,51
7343,0,98,86,37,34,69,106,32,38,14,8
7344,1,53,81,79,90,22,64,18,69,34,3
7345,0,104,43,99,48,27,2,32,55,93,74
7346,0,56,14,23,86,95,37,91,8,39,71
7347,0,21,9,41,56,3,74,14,79,110,93
7348,0,18,33,74,9,60,71,93,7,84,114
7349,1,22,64,26,99,41,114,21,119,3,59
7350,1,104,8,11,27,22,4,44,68,47,39
7351,1,27,11,85,104,10,15,42,63,88,39
7352,1,14,41,75,49,59,6,104,71,26,112
7353,1,18,74,26,2,14,104,27,81,44,68
7354,1,10,14,33,32,74,11,8,106,23,21
7355,1,22,89,41,50,4,14,26,56,67,108
7356,0,47,2,106,101,79,4,86,22,69,103
7357,1,103,2,22,109,102,7,23,77,90,69
7358,0,16,101,25,41,120,81,85,90,71,22
7359,1,72,75,41,22,23,26,1,64,53,34
7360,0,55,23,14,86,12,9,56,94,7,71
7361,0,120,36,17,84,8,87,9,58,12,97
7362,1,88,84,4,43,21,48,99,9,11,89
7363,0,30,25,8,27,69,99,52,26,14,1
7364,1,108,75,11,44,14,35,100,72,91,38
7365,0,34,69,18,4,62,61,64,77,51,29
7366,1,2,93,74,84,64,30,99,22,114,26
7367,0,70,40,95,106,87,114,21,27,84,11
7368,0,82,14,37,41,51,93,31,34,101,2
7369,1,41,30,32,22,99,95,21,3,33,34
7370,1,38,69,13,81,5,39,44,113,89,31
7371,0,44,106,21,71,26,47,31,4,79,14
7372,1,62,119,35,65,48,69,86,59,91,93
7373,0,88,76,60,56,26,64,54,101,61,41
7374,0,36,19,21,42,37,84,97,100,44,48
7375,1,54,58,14,75,46,48,35,21,88,69
7376,0,105,95,74,108,3,104,27,37,70,114
7377,1,9,48,34,51,86,110,16,67,97,11
7378,1,112,86,38,4,37,8,14,98,23,120
7379,0,39,75,48,16,7,41,86,26,51,64
7380,1,74,2,26,41,14,16,100,10,93,86
7381,1,11,29,12,4,14,34,44,7,15,3
7382,0,8,2,17,86,50,37,67,13,112,39
7383,1,14,60,22,48,102,106,71,81,101,8
7384,0,71,13,40,70,14,93,5,22,53,79
7385,1,104,11,35,14,75,53,110,34,26,95
7386,1,13,62,5,93,51,22,26,10,21,30
7387,0,11,14,71,98,44,99,86,67,87,35
7388,1,22,38,103,67,37,17,101,55,18,89
7389,1,11,2,62,4,26,36,74,23,114,3
7390,1,14,62,8,108,74,26,22,16,104,48
7391,1,93,37,33,22,106,14,45,29,9,4
7392,0,93,101,64,2,74,60,46,84,77,91
7393,1,39,114,25,67,14,22,37,48,21,47
7394,1,79,29,91,48,11,32,21,14,8,7
7395,1,9,86,28,93,34,39,11,27,90,14
7396,0,41,74,120,87,14,64,21,99,39,54
7397,0,64,2,21,109,84,95,91,25,28,88
7398,1,42,10,33,9,22,25,71,41,120,3
7399,1,108,93,47,14,114,106,54,101,27,29
7400,1,11,9,28,101,8,71,6,74,75,38
7401,1,26,22,114,91,51,11,48,20,88,69
7402,1,100,43,14,21,80,86,71,69,67,22
7403,1,71,8,74,38,27,14,105,28,94,13
7404,0,84,41,4,74,14,8,9,62,52,27
7405,0,44,91,119,97,69,4,2,68,86,17
7406,0,14,67,34,108,87,22,99,23,111,93
7407,1,22,87,1,21,106,46,67,33,53,68
7408,1,70,37,51,108,34,101,69,61,63,8
7409,1,37,108,11,44,14,90,87,114,4,76
7410,1,94,9,6,5,21,119,17,14,114,108
7411,1,74,86,99,8,100,12,14,32,23,64
7412,0,7,93,52,87,101,17,92,9,44,14
7413,0,21,119,43,12,86,48,104,120,27,74
7414,1,42,20,78,37,56,71,81,120,30,74
7415,0,85,80,25,4,30,11,41,22,32,48
7416,1,72,38,92,26,91,119,77,9,4,11
7417,0,5,44,51,108,49,120,21,22,4,101
7418,1,21,30,44,8,14,111,86,108,88,1
7419,1,9,32,104,77,47,37,8,62,22,36
7420,0,17,91,7,41,71,110,93,14,112,21
7421,1,21,55,67,101,22,11,88,48,99,37
7422,1,86,14,35,74,29,7,39,23,26,41
7423,0,4,38,22,30,91,37,23,16,48,60
7424,0,101,37,25,29,77,3,40,8,11,9
7425,0,27,106,110,67,103,26,45,56,107,41
7426,1,11,13,108,87,67,8,101,25,22,110
7427,1,75,17,55,12,14,34,8,50,110,23
7428,0,93,17,108,27,14,73,56,6,21,32
7429,0,67,84,9,39,86,120,27,16,94,74
7430,0,14,43,68,41,94,84,16,77,60,74
7431,0,61,68,114,104,37,18,21,64,102,56
7432,1,20,25,30,14,6,39,78,86,31,93
7433,0,67,86,13,101,2,84,69,59,63,33
7434,0,95,14,4,13,28,93,56,84,37,78
7435,1,68,88,97,114,21,25,59,3,12,37
7436,1,110,1,22,14,102,105,40,97,17,12
7437,0,2,110,109,74,69,93,21,4,26,19
7438,1,9,12,87,97,22,99,23,94,71,75
7439,1,76,18,87,99,90,54,92,26,19,10
7440,0,110,7,111,11,72,58,74,14,48,86
7441,1,16,42,34,7,31,97,39,26,8,101
7442,1,81,8,9,2,45,101,99,70,84,11
7443,1,77,11,14,4,110,69,89,63,26,21
7444,1,35,81,21,107,30,87,80,16,93,47
7445,1,57,91,106,48,101,56,69,13,14,86
7446,1,48,13,108,79,23,77,38,27,14,21
7447,1,74,26,14,72,120,12,63,101,21,87
7448,0,84,106,90,41,72,38,31,9,23,8
7449,1,28,108,1,30,49,36,75,8,14,22
7450,0,114,34,23,9,7,21,22,30,67,14
7451,0,14,44,106,5,16,41,92,120,26,85
7452,1,103,30,9,114,41,8,106,119,110,37
7453,1,26,83,22,45,4,25,88,114,3,103
7454,1,36,98,67,113,71,104,70,75,41,56
7455,1,69,54,23,37,30,87,61,14,110,48
7456,0,93,22,100,51,86,45,109,7,27,14
7457,0,72,27,86,102,74,22,33,44,12,7
7458,0,47,90,32,120,114,48,50,11,101,38
7459,1,30,23,12,21,14,100,72,26,7,11
7460,1,111,44,21,25,64,93,86,37,104,74
7461,1,41,50,69,47,101,35,31,64,2,22
7462,1,27,39,8,7,16,120,26,41,94,100
7463,0,27,9,104,11,15,14,75,97,106,114
7464,0,92,20,97,27,95,62,21,99,19,8
7465,1,21,6,46,100,112,69,11,87,93,17
7466,1,95,49,25,69,99,107,8,104,34,27
7467,1,44,39,14,41,112,56,16,21,95,5
7468,0,90,11,86,67,28,77,37,89,38,34
7469,1,4,107,17,32,2,101,11,7,10,21
7470,0,8,86,85,23,51,9,14,95,87,74
7471,1,99,95,21,111,14,35,5,16,67,2
7472,1,44,60,26,21,101,17,99,83,41,37
7473,1,119,17,77,21,20,26,22,64,16,67
7474,0,9,3,14,8,39,54,22,89,33,113
7475,0,14,114,22,9,56,2,27,34,110,48
7476,1,14,92,21,37,6,4,23,111,108,22
7477,0,42,76,57,31,100,23,34,101,112,99
7478,0,14,10,120,22,104,107,93,56,96,68
7479,1,9,22,12,86,78,4,83,14,69,56
7480,1,27,67,25,101,21,89,39,75,70,2
7481,0,25,21,41,68,22,101,104,106,14,46
7482,0,104,14,97,74,16,13,86,92,58,54
7483,1,69,85,56,47,30,4,101,38,53,40
7484,1,30,40,18,64,23,82,54,52,20,57
7485,1,43,84,41,31,33,11,21,104,7,35
7486,0,21,10,64,42,82,14,34,108,111,59
7487,0,76,100,120,92,21,112,38,72,7,39
7488,1,17,44,34,85,32,11,9,42,14,79
7489,1,14,106,93,26,98,42,69,21,17,113
7490,1,67,30,16,2,74,23,42,41,76,111
7491,1,34,79,97,93,14,41,51,74,64,81
7492,1,27,74,41,21,67,20,35,37,28,46
7493,1,44,75,2,13,14,54,39,26,91,99
7494,1,5,114,34,48,100,95,86,14,106,67
7495,1,22,57,101,93,37,59,43,45,26,105
7496,1,56,16,84,30,15,119,114,57,14,39
7497,0,74,5,14,109,104,48,57,84,22,28
7498,1,22,75,53,6,35,99,13,44,19,20
7499,1,97,9,12,45,10,20,6,74,14,19
7500,0,39,93,68,88,9,11,108,67,90,111
7501,1,9,14,31,61,29,33,74,2,21,56
7502,0,4,86,83,120,1,74,58,69,93,64
7503,0,14,13,88,26,67,29,5,8,39,21
7504,1,14,31,34,108,48,6,71,76,86,55
7505,0,46,53,93,98,102,47,10,20,104,71
7506,1,120,91,12,26,34,14,21,87,54,69
7507,0,84,13,95,33,104,34,88,64,14,8
7508,1,114,85,26,17,62,84,9,76,77,98
7509,1,106,30,97,114,9,27,12,102,35,87
7510,1,93,86,108,71,74,67,75,27,22,33
7511,1,41,16,74,87,62,37,32,21,81,56
7512,0,119,33,37,4,71,69,25,44,89,17
7513,1,102,29,6,87,47,46,14,120,26,93
7514,0,33,32,4,52,37,56,42,14,53,101
7515,1,8,71,39,30,21,16,11,37,86,49
7516,0,32,72,69,37,93,48,30,104,21,14
7517,0,11,21,98,1,106,17,9,2,7,44
7518,1,11,67,108,64,37,110,4,48,101,112
7519,0,34,14,104,48,13,26,51,109,31,61
7520,0,98,10,25,64,27,2,22,67,114,68
7521,0,37,17,108,30,41,46,32,86,2,67
7522,0,14,113,93,75,96,16,17,26,106,37
7523,1,98,40,101,92,78,93,13,88,99,119
7524,1,52,11,4,3,69,104,36,74,44,64
7525,1,15,25,109,22,7,35,99,20,88,48
7526,1,9,104,80,66,38,14,20,22,113,23
7527,0,104,74,7,64,56,75,18,21,101,14
7528,0,59,21,93,4,107,22,7,32,67,75
7529,0,105,67,11,26,78,97,22,8,30,21
7530,0,96,21,13,106,75,74,30,3,60,67
7531,1,7,28,69,32,64,86,51,87,120,106
7532,1,25,69,14,1,87,31,34,23,8,27
7533,1,21,9,34,71,27,32,69,93,30,56
7534,0,9,53,37,10,74,64,108,93,21,14
7535,1,12,48,63,34,14,2,87,21,17,41
7536,0,67,14,78,64,92,2,93,21,36,30
7537,0,26,23,33,101,80,46,120,5,44,60
7538,1,89,94,88,55,74,97,8,17,101,114
7539,0,9,41,47,50,13,26,87,4,25,93
7540,0,40,48,37,46,2,23,101,80,35,14
7541,1,48,44,119,78,14,11,99,75,114,8
7542,1,101,89,98,105,56,82,68,81,23,14
7543,1,30,110,102,44,113,31,25,84,21,41
7544,1,23,14,107,74,12,88,27,114,44,71
7545,1,93,120,72,75,23,51,33,103,11,6
7546,1,22,23,21,86,67,26,33,93,25,14
7547,1,112,41,21,110,108,95,7,92,114,14
7548,1,14,1,99,31,46,9,74,7,33,4
7549,0,7,89,74,93,120,71,2,109,22,68
7550,1,14,99,17,114,87,39,27,11,104,93
7551,1,67,22,4,12,14,104,48,79,76,7
7552,0,9,21,95,119,14,27,74,104,41,100
7553,1,104,1,75,87,2,67,37,32,106,99
7554,0,87,93,56,69,70,44,14,74,101,21
7555,1,26,93,88,114,108,14,96,49,79,41
7556,0,21,1,74,89,22,69,27,101,41,84
7557,1,97,41,27,44,20,64,14,35,9,78
7558,1,53,6,106,14,86,74,114,94,99,2
7559,0,34,1,68,7,62,14,95,9,16,17
7560,0,73,25,41,74,104,59,21,23,10,101
7561,1,2,103,100,4,34,97,17,91,12,101
7562,1,36,12,21,11,112,84,4,22,93,102
7563,1,83,86,114,53,47,105,93,16,74,9
7564,0,101,97,21,26,44,100,120,30,12,45
7565,1,32,44,74,100,31,11,84,1,22,113
7566,1,14,47,67,68,21,114,101,64,56,16
7567,0,94,114,100,111,21,120,106,89,62,72
7568,1,34,1,78,28,31,67,41,22,14,11
7569,1,21,14,25,87,8,93,89,37,77,11
7570,1,88,106,51,90,93,86,14,74,101,67
7571,0,27,107,41,48,21,12,32,50,34,120
7572,1,18,9,76,14,39,99,64,82,74,104
7573,0,14,76,41,64,20,37,17,2,87,54
7574,0,74,81,87,14,88,82,99,16,37,93
7575,1,64,9,104,111,72,2,68,49,93,100
7576,1,112,106,10,7,57,2,67,22,60,87
7577,0,104,34,67,37,14,21,6,27,53,99
7578,1,16,93,112,85,106,110,87,72,17,9
7579,1,61,60,25,44,46,71,12,37,21,74
7580,0,69,101,25,27,52,91,93,31,12,38
7581,0,62,87,21,1,25,52,9,111,8,32
7582,0,33,26,74,4,19,23,100,94,42,76
7583,1,14,25,109,108,52,69,112,114,34,93
7584,0,9,69,13,104,23,83,20,86,44,108
7585,0,57,32,22,64,42,44,74,21,28,90
7586,1,74,47,104,87,62,7,39,8,99,5
7587,0,77,120,107,25,13,88,47,71,37,18
7588,0,78,64,48,8,71,44,21,69,32,34
7589,0,4,9,99,1,26,40,39,32,54,35
7590,1,54,46,52,26,14,4,73,101,120,34
7591,1,3,99,16,94,17,86,22,85,93,21
7592,0,108,30,39,32,44,83,37,14,41,45
7593,0,70,54,14,33,5,87,43,8,111,104
7594,0,39,60,86,101,12,56,5,21,16,71
7595,0,8,86,28,25,4,99,14,11,67,21
7596,0,104,18,33,17,19,31,100,82,12,2
7597,0,84,86,96,81,23,114,56,9,32,14
7598,1,21,10,34,103,14,12,37,87,99,25
7599,1,50,1,90,34,99,64,111,39,41,9
7600,1,37,74,79,48,69,8,5,110,17,101
7601,1,41,11,86,9,75,15,101,74,33,67
7602,1,26,114,62,8,21,99,22,67,100,3
7603,1,27,14,74,9,67,106,86,35,21,114
7604,1,59,48,7,50,46,11,114,9,41,79
7605,1,86,74,16,114,14,71,26,1,11,2
7606,1,34,20,26,70,22,95,85,14,84,21
7607,0,66,48,29,89,92,34,51,86,93,12
7608,1,27,39,89,35,33,43,37,66,48,99
7609,0,31,1,2,54,113,106,4,88,20,23
7610,0,29,12,52,88,21,9,14,23,44,56
7611,0,69,14,52,34,44,100,74,101,49,114
7612,1,14,113,31,82,92,57,22,7,48,36
7613,1,7,52,26,36,109,64,1,9,16,12
7614,1,92,93,101,25,27,87,74,2,56,103
7615,0,110,67,99,26,22,74,8,5,14,104
7616,0,101,12,14,53,76,100,102,25,18,26
7617,1,106,56,12,64,7,34,4,2,40,5
7618,1,81,119,14,69,74,57,106,7,42,58
7619,0,22,85,10,94,7,84,110,6,47,64
7620,0,64,41,74,86,38,84,17,101,44,108
7621,0,16,37,4,25,97,34,93,75,108,14
7622,1,62,91,38,23,93,53,81,32,9,22
7623,0,35,4,9,23,14,44,83,28,2,74
7624,0,11,93,21,99,105,110,114,36,25,75
7625,1,95,14,9,22,110,33,74,21,12,87
7626,1,37,14,18,69,74,101,114,2,22,44
7627,0,111,54,16,108,106,70,37,101,34,38
7628,1,93,21,69,106,14,40,25,67,99,37
7629,1,27,8,17,51,87,119,48,84,34,31
7630,1,35,27,4,119,93,56,31,36,107,14
7631,1,95,101,88,52,3,34,37,93,55,21
7632,0,56,61,63,101,14,5,70,26,102,95
7633,0,17,14,63,19,37,1,21,74,7,87
7634,1,11,106,31,64,97,21,32,78,9,87
7635,0,9,110,96,42,94,93,47,101,74,75
7636,1,30,48,120,14,22,63,50,21,11,81
7637,0,84,74,44,27,97,34,21,9,14,108
7638,1,41,17,89,114,119,64,71,57,76,67
7639,1,74,41,69,32,31,87,44,23,89,60
7640,0,98,30,67,62,110,75,114,56,105,35
7641,1,21,4,57,91,13,63,22,14,101,93
7642,1,25,5,16,33,8,1,107,9,110,21
7643,0,14,11,2,12,17,4,21,48,23,38
7644,1,99,84,3,23,114,31,108,76,119,9
7645,1,27,34,28,90,1,47,14,16,48,102
7646,0,99,44,14,64,11,41,20,83,10,114
7647,0,37,69,120,44,82,20,91,97,60,3
7648,1,56,38,31,106,26,59,114,5,104,66
7649,0,56,74,71,110,85,4,47,12,101,8
7650,0,42,7,6,39,1,28,22,32,26,56
7651,1,114,51,18,99,31,21,9,82,49,37
7652,1,51,42,14,74,105,28,25,37,80,101
7653,1,78,27,67,72,32,37,74,62,8,33
7654,1,26,114,17,8,103,25,67,101,4,27
7655,0,14,36,74,64,44,48,111,51,9,99
7656,0,10,64,120,93,84,67,17,37,110,51
7657,0,37,40,57,44,86,14,21,3,42,76
7658,0,119,2,51,41,49,93,64,17,60,40
7659,0,62,38,47,35,31,67,68,69,7,74
7660,0,41,114,71,89,56,44,64,36,22,37
7661,1,101,8,21,59,78,37,2,110,12,43
7662,1,64,4,66,69,93,119,48,101,14,99
7663,0,104,74,114,91,110,87,39,101,99,9
7664,1,21,119,25,41,37,17,93,47,30,101
7665,1,25,56,14,110,22,37,101,82,41,52
7666,1,49,74,62,106,92,56,32,21,103,10
7667,0,114,33,19,17,84,40,75,72,74,119
7668,1,66,35,72,61,30,101,68,48,34,19
7669,1,67,68,12,32,110,1,16,47,59,91
7670,0,32,57,82,101,109,21,19,59,14,10
7671,1,69,93,4,101,84,25,48,108,87,110
7672,0,59,120,40,34,91,93,5,108,4,22
7673,1,21,1,58,52,26,23,22,74,41,37
7674,1,41,119,57,21,107,37,51,95,101,11
7675,1,52,49,99,9,103,6,13,25,62,69
7676,1,53,6,43,7,21,42,22,108,30,107
7677,1,1,110,14,86,39,9,64,101,44,107
7678,0,58,92,114,32,49,109,47,107,37,97
7679,1,101,110,8,30,17,108,77,34,86,87
7680,0,35,100,41,110,9,32,112,73,33,4
7681,0,9,22,95,99,87,18,21,14,75,96
7682,1,89,35,27,44,75,25,21,15,86,108
7683,0,71,9,11,38,8,69,14,35,30,41
7684,1,8,68,84,74,99,82,21,14,44,27
7685,1,41,103,11,9,4,93,60,101,78,27
7686,1,21,66,56,101,67,1,87,23,2,22
7687,1,114,50,108,47,8,28,107,35,10,14
7688,0,26,114,71,56,45,21,64,25,7,67
7689,1,14,32,18,37,49,46,64,74,15,31
7690,0,56,89,101,36,114,88,106,62,81,120
7691,0,86,70,14,25,41,11,95,19,87,21
7692,0,25,20,93,53,120,17,39,42,119,71
7693,0,7,74,87,22,44,119,8,59,39,32
7694,0,74,14,22,12,101,7,93,23,52,34
7695,1,92,42,71,119,13,41,101,16,88,21
7696,1,74,86,14,29,8,23,89,87,93,51
7697,1,41,87,17,104,14,33,18,34,99,51
7698,0,38,119,54,71,13,99,46,100,8,27
7699,0,106,87,2,44,68,101,120,76,48,21
7700,0,23,8,114,34,101,44,108,74,26,14
7701,0,70,68,63,11,14,74,100,21,67,27
7702,0,79,52,80,4,13,39,37,101,63,48
7703,1,17,110,30,93,32,56,67,108,105,75
7704,1,46,40,36,83,1,47,54,22,9,86
7705,0,61,44,98,54,9,109,14,27,34,78
7706,1,101,87,23,41,51,34,119,10,90,21
7707,1,56,27,48,36,10,7,67,74,82,108
7708,1,56,103,74,87,102,9,69,16,22,114
7709,1,39,107,88,37,1,92,101,112,47,22
7710,0,69,34,21,8,30,72,47,101,2,83
7711,1,101,95,97,22,3,64,30,21,41,120
7712,0,101,98,93,14,84,89,45,30,81,49
7713,1,48,64,101,88,69,9,79,84,49,33
7714,0,27,39,110,105,93,21,26,38,1,62
7715,1,110,84,14,81,76,67,100,120,41,106
7716,1,16,68,23,67,9,44,21,11,102,64
7717,0,34,68,73,2,92,104,48,4,14,96
7718,1,23,5,109,16,85,38,74,14,100,93
7719,0,48,2,89,11,37,104,5,100,109,74
7720,0,56,26,63,102,1,21,93,97,88,30
7721,0,51,22,41,92,89,44,69,27,36,4
7722,1,111,25,83,1,2,21,64,69,72,101
7723,1,12,99,14,101,80,95,71,53,87,26
7724,1,83,81,91,74,4,120,25,8,14,5
7725,0,64,25,86,99,6,17,37,51,2,114
7726,0,70,21,76,99,88,75,11,96,14,28
7727,1,4,27,37,57,59,110,25,26,81,21
7728,0,56,41,40,101,103,14,51,22,93,105
7729,0,9,100,35,50,13,31,101,11,120,97
7730,1,69,34,42,21,82,48,100,23,64,9
7731,1,13,12,86,69,14,119,96,41,47,11
7732,0,35,14,87,7,4,61,100,40,48,91
7733,0,103,97,21,41,27,94,64,56,14,99
7734,0,3,11,93,42,21,22,56,4,100,9
7735,1,69,59,11,25,114,5,8,82,23,17
7736,0,9,34,86,22,67,14,47,17,26,42
7737,1,99,53,27,93,11,30,2,14,52,10
7738,1,53,93,69,23,74,114,78,84,64,101
7739,0,21,95,14,105,42,78,22,9,26,44
7740,1,99,101,91,41,33,107,44,108,30,74
7741,1,120,92,71,93,45,41,35,26,84,99
7742,0,2,101,85,93,61,28,4,27,21,45
7743,0,38,37,74,67,64,1,113,23,101,108
7744,0,99,11,21,32,6,22,93,41,14,9
7745,0,74,107,9,46,110,63,37,23,71,13
7746,0,16,76,22,48,14,69,68,1,37,11
7747,1,2,70,34,64,89,14,104,101,97,36
7748,1,101,72,11,108,79,92,67,38,74,87
7749,1,6,41,27,23,17,54,63,37,74,86
7750,0,29,76,75,26,67,88,46,102,41,44
7751,1,6,108,92,101,68,97,95,111,22,14
7752,0,27,110,41,47,74,106,17,87,69,20
7753,0,11,19,86,109,62,120,54,3,21,111
7754,1,76,37,67,120,110,102,56,100,101,21
7755,1,84,67,30,74,51,114,62,31,34,37
7756,0,71,2,101,11,10,70,31,14,21,69
7757,0,98,4,27,11,73,66,69,26,10,74
7758,1,34,32,80,21,30,12,108,40,14,46
7759,1,8,37,76,22,33,74,91,71,18,21
7760,1,14,48,69,5,4,93,23,99,86,74
7761,0,40,64,5,95,97,113,89,110,98,46
7762,0,34,14,4,65,105,86,100,93,2,49
